Date,open,high,low,close,volume
2022-01-01,0.16672,0.17371,0.16672,0.17368,8836789.0
2022-01-02,0.17296,0.17582,0.1662,0.17496,11281089.0
2022-01-03,0.1748,0.17562,0.1662,0.16962,8155116.0
2022-01-04,0.1706,0.17285,0.16761,0.16888,15466842.0
2022-01-05,0.16882,0.1718,0.1578,0.1578,5731604.0
2022-01-06,0.1575,0.16191,0.15442,0.15948,12614709.0
2022-01-07,0.16038,0.16108,0.14918,0.15386,11979796.0
2022-01-08,0.15484,0.15742,0.14526,0.15039,15834779.0
2022-01-09,0.15056,0.1542,0.14964,0.15101,6466498.0
2022-01-10,0.15101,0.1543,0.13706,0.1416,10783748.0
2022-01-11,0.14296,0.1591,0.14149,0.1508,14355446.0
2022-01-12,0.15323,0.16286,0.15162,0.16238,12257465.0
2022-01-13,0.17014,0.17678,0.16184,0.17228,6116965.0
2022-01-14,0.17228,0.21004,0.17228,0.18192,5256246.0
2022-01-15,0.1832,0.19232,0.18143,0.18615,7678391.0
2022-01-16,0.18434,0.18446,0.17508,0.1771,7723451.0
2022-01-17,0.1771,0.1771,0.1771,0.1771,0.0
2022-01-18,0.1771,0.1771,0.1771,0.1771,0.0
2022-01-19,0.1771,0.1771,0.177,0.177,12273.0
2022-01-20,0.177,0.177,0.177,0.177,0.0
2022-01-21,0.177,0.177,0.177,0.177,0.0
2022-01-22,0.177,0.177,0.177,0.177,0.0
2022-01-23,0.177,0.177,0.177,0.177,0.0
2022-01-24,0.177,0.177,0.177,0.177,0.0
2022-01-25,0.177,0.177,0.177,0.177,0.0
2022-01-26,0.177,0.177,0.177,0.177,0.0
2022-01-27,0.177,0.177,0.177,0.177,0.0
2022-01-28,0.177,0.177,0.177,0.177,0.0
2022-01-29,0.177,0.177,0.177,0.177,0.0
2022-01-30,0.177,0.177,0.177,0.177,0.0
2022-01-31,0.177,0.177,0.177,0.177,0.0
2022-02-01,0.177,0.177,0.177,0.177,0.0
2022-02-02,0.177,0.177,0.177,0.177,0.0
2022-02-03,0.177,0.177,0.177,0.177,0.0
2022-02-04,0.177,0.177,0.177,0.177,0.0
2022-02-05,0.177,0.177,0.177,0.177,0.0
2022-02-06,0.177,0.177,0.177,0.177,0.0
2022-02-07,0.177,0.177,0.177,0.177,0.0
2022-02-08,0.177,0.177,0.177,0.177,0.0
2022-02-09,0.177,0.177,0.177,0.177,0.0
2022-02-10,0.177,0.177,0.177,0.177,0.0
2022-02-11,0.177,0.177,0.177,0.177,0.0
2022-02-12,0.177,0.177,0.177,0.177,0.0
2022-02-13,0.177,0.177,0.177,0.177,0.0
2022-02-14,0.177,0.177,0.177,0.177,0.0
2022-02-15,0.177,0.177,0.177,0.177,0.0
2022-02-16,0.177,0.177,0.177,0.177,0.0
2022-02-17,0.177,0.177,0.177,0.177,0.0
